gender,age,size,weight
Male,20-46,4512,1530
Male,20-46,3738,1297
Male,20-46,4261,1335
Male,20-46,3777,1282
Male,20-46,4177,1590
Male,20-46,3585,1300
Male,20-46,3785,1400
Male,20-46,3559,1255
Male,20-46,3613,1355
Male,20-46,3982,1375
Male,20-46,3443,1340
Male,20-46,3993,1380
Male,20-46,3640,1355
Male,20-46,4208,1522
Male,20-46,3832,1208
Male,20-46,3876,1405
Male,20-46,3497,1358
Male,20-46,3466,1292
Male,20-46,3095,1340
Male,20-46,4424,1400
Male,20-46,3878,1357
Male,20-46,4046,1287
Male,20-46,3804,1275
Male,20-46,3710,1270
Male,20-46,4747,1635
Male,20-46,4423,1505
Male,20-46,4036,1490
Male,20-46,4022,1485
Male,20-46,3454,1310
Male,20-46,4175,1420
Male,20-46,3787,1318
Male,20-46,3796,1432
Male,20-46,4103,1364
Male,20-46,4161,1405
Male,20-46,4158,1432
Male,20-46,3814,1207
Male,20-46,3527,1375
Male,20-46,3748,1350
Male,20-46,3334,1236
Male,20-46,3492,1250
Male,20-46,3962,1350
Male,20-46,3505,1320
Male,20-46,4315,1525
Male,20-46,3804,1570
Male,20-46,3863,1340
Male,20-46,4034,1422
Male,20-46,4308,1506
Male,20-46,3165,1215
Male,20-46,3641,1311
Male,20-46,3644,1300
Male,20-46,3891,1224
Male,20-46,3793,1350
Male,20-46,4270,1335
Male,20-46,4063,1390
Male,20-46,4012,1400
Male,20-46,3458,1225
Male,20-46,3890,1310
Male,46+,4166,1560
Male,46+,3935,1330
Male,46+,3669,1222
Male,46+,3866,1415
Male,46+,3393,1175
Male,46+,4442,1330
Male,46+,4253,1485
Male,46+,3727,1470
Male,46+,3329,1135
Male,46+,3415,1310
Male,46+,3372,1154
Male,46+,4430,1510
Male,46+,4381,1415
Male,46+,4008,1468
Male,46+,3858,1390
Male,46+,4121,1380
Male,46+,4057,1432
Male,46+,3824,1240
Male,46+,3394,1195
Male,46+,3558,1225
Male,46+,3362,1188
Male,46+,3930,1252
Male,46+,3835,1315
Male,46+,3830,1245
Male,46+,3856,1430
Male,46+,3249,1279
Male,46+,3577,1245
Male,46+,3933,1309
Male,46+,3850,1412
Male,46+,3309,1120
Male,46+,3406,1220
Male,46+,3506,1280
Male,46+,3907,1440
Male,46+,4160,1370
Male,46+,3318,1192
Male,46+,3662,1230
Male,46+,3899,1346
Male,46+,3700,1290
Male,46+,3779,1165
Male,46+,3473,1240
Male,46+,3490,1132
Male,46+,3654,1242
Male,46+,3478,1270
Male,46+,3495,1218
Male,46+,3834,1430
Male,46+,3876,1588
Male,46+,3661,1320
Male,46+,3618,1290
Male,46+,3648,1260
Male,46+,4032,1425
Male,46+,3399,1226
Male,46+,3916,1360
Male,46+,4430,1620
Male,46+,3695,1310
Male,46+,3524,1250
Male,46+,3571,1295
Male,46+,3594,1290
Male,46+,3383,1290
Male,46+,3499,1275
Male,46+,3589,1250
Male,46+,3900,1270
Male,46+,4114,1362
Male,46+,3937,1300
Male,46+,3399,1173
Male,46+,4200,1256
Male,46+,4488,1440
Male,46+,3614,1180
Male,46+,4051,1306
Male,46+,3782,1350
Male,46+,3391,1125
Male,46+,3124,1165
Male,46+,4053,1312
Male,46+,3582,1300
Male,46+,3666,1270
Male,46+,3532,1335
Male,46+,4046,1450
Male,46+,3667,1310
Female,20-46,2857,1027
Female,20-46,3436,1235
Female,20-46,3791,1260
Female,20-46,3302,1165
Female,20-46,3104,1080
Female,20-46,3171,1127
Female,20-46,3572,1270
Female,20-46,3530,1252
Female,20-46,3175,1200
Female,20-46,3438,1290
Female,20-46,3903,1334
Female,20-46,3899,1380
Female,20-46,3401,1140
Female,20-46,3267,1243
Female,20-46,3451,1340
Female,20-46,3090,1168
Female,20-46,3413,1322
Female,20-46,3323,1249
Female,20-46,3680,1321
Female,20-46,3439,1192
Female,20-46,3853,1373
Female,20-46,3156,1170
Female,20-46,3279,1265
Female,20-46,3707,1235
Female,20-46,4006,1302
Female,20-46,3269,1241
Female,20-46,3071,1078
Female,20-46,3779,1520
Female,20-46,3548,1460
Female,20-46,3292,1075
Female,20-46,3497,1280
Female,20-46,3082,1180
Female,20-46,3248,1250
Female,20-46,3358,1190
Female,20-46,3803,1374
Female,20-46,3566,1306
Female,20-46,3145,1202
Female,20-46,3503,1240
Female,20-46,3571,1316
Female,20-46,3724,1280
Female,20-46,3615,1350
Female,20-46,3203,1180
Female,20-46,3609,1210
Female,20-46,3561,1127
Female,20-46,3979,1324
Female,20-46,3533,1210
Female,20-46,3689,1290
Female,20-46,3158,1100
Female,20-46,4005,1280
Female,20-46,3181,1175
Female,20-46,3479,1160
Female,20-46,3642,1205
Female,20-46,3632,1163
Female,46+,3069,1022
Female,46+,3394,1243
Female,46+,3703,1350
Female,46+,3165,1237
Female,46+,3354,1204
Female,46+,3000,1090
Female,46+,3687,1355
Female,46+,3556,1250
Female,46+,2773,1076
Female,46+,3058,1120
Female,46+,3344,1220
Female,46+,3493,1240
Female,46+,3297,1220
Female,46+,3360,1095
Female,46+,3228,1235
Female,46+,3277,1105
Female,46+,3851,1405
Female,46+,3067,1150
Female,46+,3692,1305
Female,46+,3402,1220
Female,46+,3995,1296
Female,46+,3318,1175
Female,46+,2720,955
Female,46+,2937,1070
Female,46+,3580,1320
Female,46+,2939,1060
Female,46+,2989,1130
Female,46+,3586,1250
Female,46+,3156,1225
Female,46+,3246,1180
Female,46+,3170,1178
Female,46+,3268,1142
Female,46+,3389,1130
Female,46+,3381,1185
Female,46+,2864,1012
Female,46+,3740,1280
Female,46+,3479,1103
Female,46+,3647,1408
Female,46+,3716,1300
Female,46+,3284,1246
Female,46+,4204,1380
Female,46+,3735,1350
Female,46+,3218,1060
Female,46+,3685,1350
Female,46+,3704,1220
Female,46+,3214,1110
Female,46+,3394,1215
Female,46+,3233,1104
Female,46+,3352,1170
Female,46+,3391,1120
